particle#, xPos, yPos
1.0, 147.18, 129.48
1.0, 147.94, 129.97
1.0, 147.91, 129.62
1.0, 148.28, 128.94
1.0, 148.27, 129.46
1.0, 148.23, 129.81
1.0, 148.75, 130.28
1.0, 148.71, 131.6
1.0, 148.84, 132.1
1.0, 149.57, 131.9
1.0, 149.21, 131.74
1.0, 149.12, 131.44
1.0, 149.96, 131.94
1.0, 149.77, 131.59
1.0, 149.86, 130.71
1.0, 148.9, 129.72
1.0, 148.58, 130.27
1.0, 147.48, 130.08
1.0, 146.88, 129.76
1.0, 147.43, 130.26
1.0, 147.63, 130.2
1.0, 148.57, 129.36
1.0, 148.44, 129.34
1.0, 148.69, 129.74
1.0, 148.77, 129.9
1.0, 149.01, 129.6
1.0, 149.91, 129.22
1.0, 150.92, 129.12
1.0, 151.39, 129.23
1.0, 152.45, 129.63
1.0, 152.61, 128.82
1.0, 153.71, 128.76
1.0, 153.4, 130.34
1.0, 153.52, 131.12
1.0, 153.57, 131.65
1.0, 154.04, 130.91
1.0, 153.55, 129.64
1.0, 153.01, 129.26
1.0, 153.24, 129.79
1.0, 153.74, 129.78
1.0, 153.79, 129.06
1.0, 153.3, 129.0
1.0, 153.61, 129.99
1.0, 153.81, 130.12
1.0, 153.0, 130.05
1.0, 151.8, 130.51
1.0, 150.99, 130.21
1.0, 150.27, 128.57
1.0, 150.9, 127.99
1.0, 152.19, 127.94
1.0, 152.69, 128.34
1.0, 151.66, 128.57
1.0, 151.01, 127.23
1.0, 152.48, 127.22
1.0, 152.12, 127.55
1.0, 151.63, 127.69
1.0, 151.46, 127.3
1.0, 151.0, 127.77
1.0, 151.25, 127.58
1.0, 150.44, 127.22
1.0, 150.52, 126.0
1.0, 150.54, 125.92
1.0, 149.87, 126.06
1.0, 150.04, 126.52
1.0, 150.66, 126.72
1.0, 150.32, 126.77
1.0, 150.08, 126.21
1.0, 150.39, 126.31
1.0, 150.72, 126.93
1.0, 150.64, 126.59
1.0, 150.32, 126.77
1.0, 150.0, 126.62
1.0, 150.9, 126.8
1.0, 151.92, 127.24
1.0, 152.46, 126.96
1.0, 152.66, 127.01
1.0, 153.18, 127.74
1.0, 152.94, 128.36
1.0, 152.22, 128.24
1.0, 153.12, 128.25
1.0, 152.49, 128.64
1.0, 153.02, 130.05
1.0, 152.78, 130.32
1.0, 152.54, 130.03
1.0, 152.47, 129.82
1.0, 152.71, 129.17
1.0, 152.34, 129.22
1.0, 152.73, 129.94
1.0, 152.79, 130.67
1.0, 153.09, 130.71
1.0, 153.28, 130.67
1.0, 153.73, 130.42
